m2	nlocaltemps	dist	chain_delta_log_evidence	af	v1_optimal_snr	f_ref	psdscaleflag	h1l1_relative_phase	chain_log_noise_evidence	l1_optimal_snr	mtotal	logll1	signalmodelflag	logl	nulllogl	lambda2	h1_cplx_snr_arg	sky_frame	temperature	segmentstart	deltalogl	h1_cplx_snr_amp	lambda1	loglv1	m1	ra	v1_cplx_snr_arg	dlam_tilde	l_peak	lal_pnorder	h1v1_relative_phase	chain_log_bayes_factor	psi	nifo	loglh1	costheta_jn	a2z	time	segmentlength	a1	a2	ntemps	chain_log_evidence	optimal_snr	alpha	a1z	phase_maxl	lam_tilde	l1v1_relative_phase	theta_jn	randomseed	mc	l1_cplx_snr_amp	logprior	logpost	flow	l1_cplx_snr_arg	t0	chi_eff	q	v1_cplx_snr_amp	eta	lal_approximant	h1_optimal_snr	azimuth	lal_amporder	dec	samplerate	matched_filter_snr	mf	
1.397626327435814275e+00	1.000000000000000000e+00	1.264026243361810060e+02	1.583851826821830855e+01	7.063016234625707490e-01	9.847523767435694353e+00	1.000000000000000000e+02	0.000000000000000000e+00	-5.913494020698850662e-02	-1.953430534990916669e+02	1.090266049058551800e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.598616633544907017e+01	-1.953430534990916669e+02	4.883947023866114250e+03	-1.105788638909017241e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.693568871636425968e+02	9.612799755403504065e+00	4.669400552626968420e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.817693619206242950e+00	-1.072106638796915146e+00	3.832798185322263862e+01	3.837295271377415329e+00	-1.000000000000000000e+00	-3.368200011210209510e-02	3.086070061959216559e+01	5.560387776069077859e-01	3.000000000000000000e+00	5.964359814214823530e+01	8.936089723872854274e-01	2.420842886139191741e-01	1.197042098004564047e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.754408979600158958e+01	1.080738580401281235e+00	-1.113425638698823938e-01	5.210881707820265163e+00	4.776264934050736883e+03	2.545294009488641152e-02	4.654738672360502760e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.096782433463875250e+01	1.499562512631134581e+01	1.843525122899539497e+02	2.000000000000000000e+01	-1.046653698702028734e+00	1.197042098016972542e+09	6.514682042460115396e-02	9.974675578925147335e-01	9.905941478625871710e+00	2.499995981540534262e-01	6.000000000000000000e+01	9.589231285508851954e+00	4.519425934394426747e+00	0.000000000000000000e+00	-7.167678738640629321e-01	4.096000000000000000e+03	1.762506996386981939e+01	2.658179182740285640e+00
1.393567730017768902e+00	1.000000000000000000e+00	1.205564773381705521e+02	1.583851826821830855e+01	7.020569000045264740e-01	1.140990687804106152e+01	1.000000000000000000e+02	0.000000000000000000e+00	-1.935500567348880097e-02	-1.953430534990916669e+02	1.244946338380893636e+01	2.797949540801436985e+00	7.823771274157749644e+01	1.000000000000000000e+00	-4.354642039784096141e+01	-1.953430534990916669e+02	1.166920944520181365e+03	-2.868812387874818182e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.517966331012507055e+02	1.042246346234477272e+01	3.931381375141105309e+03	5.746174261536594230e+01	1.404381810783668083e+00	3.843544152648925127e+00	-2.809850190403633707e+00	-5.898117907779952702e+02	3.812067183802587245e+00	-1.000000000000000000e+00	-5.896219747118447430e-02	3.086070061959216559e+01	2.087227192909606011e+00	3.000000000000000000e+00	5.964359814214823530e+01	8.410184681821051278e-01	2.374278266535722604e-01	1.197042098005077124e+09	1.280000000000000000e+02	1.321107477323216206e-01	2.374278266535722604e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.999492527524307306e+01	1.063330199497723116e+00	-1.321107477323216206e-01	3.440293165522996688e+00	2.566099529662192253e+03	-3.960719179769567333e-02	5.716333062671498100e-01	1.200664610000000000e+08	1.217867358601297134e+00	1.193253632327098401e+01	1.485844816909492572e+01	1.666550812703456188e+02	2.000000000000000000e+01	-2.849457382201329381e+00	1.197042098017680645e+09	5.194440578322174346e-02	9.922997573146686845e-01	1.025969836065041463e+01	2.499962654397504536e-01	6.000000000000000000e+01	1.070616286314504784e+01	4.474394917046504716e+00	0.000000000000000000e+00	-6.905622628518199857e-01	4.096000000000000000e+03	1.885957973406084065e+01	2.658422927570315064e+00
1.397626327435814275e+00	1.000000000000000000e+00	9.338036400494554812e+01	1.583851826821830855e+01	7.063016234625707490e-01	1.046009904051510375e+01	1.000000000000000000e+02	0.000000000000000000e+00	-1.144045453906050724e-02	-1.953430534990916669e+02	1.179815514885641647e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.163537330455199026e+01	-1.953430534990916669e+02	4.581873313275244982e+03	1.064614361774657514e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.737076801945396767e+02	1.042522192007624149e+01	4.652060465075373031e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.832371163050564800e+00	9.569774454644572881e-01	-2.109207548374885377e+01	3.837295271377415329e+00	-1.000000000000000000e+00	1.076369163102004478e-01	3.086070061959216559e+01	1.647188153739275407e+00	3.000000000000000000e+00	5.964359814214823530e+01	6.697740901350235365e-01	2.420842886139191741e-01	1.197042098004741192e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.877554659061872044e+01	1.068658483672060955e+00	-1.113425638698823938e-01	1.036625812285953296e+00	4.617126621156581677e+03	1.190773708492605110e-01	8.368918102071312148e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.194002967046199259e+01	1.408725165827706327e+01	1.877949318528167453e+02	2.000000000000000000e+01	1.076054816313718021e+00	1.197042098017647743e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.024564433140895048e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.019367514307877443e+01	4.459083053307344002e+00	0.000000000000000000e+00	-7.105952519882021701e-01	4.096000000000000000e+03	1.884479016484205260e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	9.407457181675377456e+01	1.583851826821830855e+01	7.063016234625707490e-01	1.033853602142727013e+01	1.000000000000000000e+02	0.000000000000000000e+00	-4.234251267291888610e-02	-1.953430534990916669e+02	1.183215335907718213e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.271915196147529059e+01	-1.953430534990916669e+02	3.902693287211642200e+03	-1.718260187904410152e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.726239015376163763e+02	1.033128560365281778e+01	2.772799537562286332e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.817176719012657315e+00	-1.710829918726052279e+00	2.320508792383697312e+02	3.837295271377415329e+00	-1.000000000000000000e+00	-7.430269178358095417e-03	3.086070061959216559e+01	2.973900340821589605e+00	3.000000000000000000e+00	5.964359814214823530e+01	6.831243340887939164e-01	2.420842886139191741e-01	1.197042098004485369e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.881254177345337197e+01	1.061369425558537749e+00	-1.113425638698823938e-01	4.584029019201834032e+00	3.335501488546776272e+03	3.491224349456079068e-02	8.187640658645651826e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.191247653714057009e+01	1.410947175023892086e+01	1.867333732878553008e+02	2.000000000000000000e+01	-1.675917675231491488e+00	1.197042098017600536e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.022057669705421823e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.034536358949541679e+01	4.447504632780256983e+00	0.000000000000000000e+00	-7.154570366431965978e-01	4.096000000000000000e+03	1.878705174286046997e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	7.240008502037227345e+01	1.583851826821830855e+01	7.063016234625707490e-01	1.112058973623662617e+01	1.000000000000000000e+02	0.000000000000000000e+00	-1.969744901630532397e-02	-1.953430534990916669e+02	1.194499451964015257e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.229340224539527071e+01	-1.953430534990916669e+02	6.966514803866411967e+02	-1.249206321674126846e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.730496512536963962e+02	1.042436383914826692e+01	3.213895477531420966e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.852372527611970909e+00	4.394844508726868104e-02	-5.299754165948161244e+02	3.837295271377415329e+00	-1.000000000000000000e+00	-1.688690772546812546e-01	3.086070061959216559e+01	2.185284246512888995e+00	3.000000000000000000e+00	5.964359814214823530e+01	5.344809090183648692e-01	2.420842886139191741e-01	1.197042098005275249e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.942429311833285510e+01	1.068030733576749824e+00	-1.113425638698823938e-01	6.218463495292606780e+00	1.960314333104539173e+03	-1.491716282383759307e-01	1.006902876643512634e+00	1.200664610000000000e+08	1.218247739848854039e+00	1.193857071551219740e+01	1.332383081647622092e+01	1.863734820701726278e+02	2.000000000000000000e+01	-1.052231831511071664e-01	1.197042098017720222e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.026469634849022050e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.053341127038095237e+01	4.495312845763716147e+00	0.000000000000000000e+00	-6.827874050763308444e-01	4.096000000000000000e+03	1.882027605260817538e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	1.282564474573508733e+02	1.583851826821830855e+01	7.063016234625707490e-01	1.024530601389377971e+01	1.000000000000000000e+02	0.000000000000000000e+00	-4.461491003447903836e-02	-1.953430534990916669e+02	1.136646545861026247e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.143218822334551987e+01	-1.953430534990916669e+02	2.561466328560969032e+03	3.132391483835694768e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.739108652757461471e+02	1.040819799107334376e+01	4.334884043301996826e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.823064687805488582e+00	-3.095334404058187161e+00	-3.762378217721958436e+02	3.837295271377415329e+00	-1.000000000000000000e+00	-5.545941928570385926e-02	3.086070061959216559e+01	5.754561058059379786e-01	3.000000000000000000e+00	5.964359814214823530e+01	9.510006049925103788e-01	2.420842886139191741e-01	1.197042098004690647e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.825472081393614943e+01	1.062880347191504038e+00	-1.113425638698823938e-01	3.166899997125349309e+00	3.451735211295816953e+03	-1.084450925122482090e-02	3.143401477875077399e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.194009921316829193e+01	1.503930366143725195e+01	1.889501689371834061e+02	2.000000000000000000e+01	-3.106178913309411982e+00	1.197042098017705441e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.026272484679050123e+01	2.499995981540534262e-01	6.000000000000000000e+01	9.953491832248891669e+00	4.454427144561203811e+00	0.000000000000000000e+00	-7.110967363276347042e-01	4.096000000000000000e+03	1.886458384168005153e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	1.093724874325197760e+02	1.583851826821830855e+01	7.063016234625707490e-01	1.046243722135941923e+01	1.000000000000000000e+02	0.000000000000000000e+00	7.712638472536781364e-04	-1.953430534990916669e+02	1.195841477800546748e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.231665399879125289e+01	-1.953430534990916669e+02	4.893313077729080760e+03	-1.071354634102717807e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.730263995003004140e+02	1.040973370042927471e+01	4.684909840380696551e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.837083611803051575e+00	-1.207501743589187493e+00	3.702398732461926301e+01	3.837295271377415329e+00	-1.000000000000000000e+00	1.361471094864699083e-01	3.086070061959216559e+01	2.731684082492487953e+00	3.000000000000000000e+00	5.964359814214823530e+01	8.365088274674825630e-01	2.420842886139191741e-01	1.197042098004737854e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.907989458694463991e+01	1.074368206769448664e+00	-1.113425638698823938e-01	5.171000770393996859e+00	4.788714939090054941e+03	1.353758456392157861e-01	5.799157326548997071e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.191747942272203886e+01	1.456148651246482473e+01	1.875878860127652388e+02	2.000000000000000000e+01	-1.072125897949971707e+00	1.197042098017633915e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.023931712459885013e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.056295890530739534e+01	4.456108775181433224e+00	0.000000000000000000e+00	-7.157641552177149702e-01	4.096000000000000000e+03	1.881078058360986205e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	1.160717832284490925e+02	1.583851826821830855e+01	7.063016234625707490e-01	1.031063055241889792e+01	1.000000000000000000e+02	0.000000000000000000e+00	-5.085178943773582816e-02	-1.953430534990916669e+02	1.169934386045610530e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.287133826088859223e+01	-1.953430534990916669e+02	3.326788974189271357e+03	-7.517784895276052870e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.724717152382030747e+02	1.042529632215572910e+01	3.627962603910325470e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.823345673382080534e+00	-5.569046370367027876e-01	-6.789781768991720412e+01	3.837295271377415329e+00	-1.000000000000000000e+00	-1.948738524909026104e-01	3.086070061959216559e+01	2.530737357630120865e+00	3.000000000000000000e+00	5.964359814214823530e+01	8.720364762153729465e-01	2.420842886139191741e-01	1.197042098004995823e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.863414839365547238e+01	1.057370275100236956e+00	-1.113425638698823938e-01	5.609924478857697849e+00	3.477992533141118201e+03	-1.440220630531667823e-01	5.114484823477729591e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.193043351489897930e+01	1.473983485731132248e+01	1.872115500955143830e+02	2.000000000000000000e+01	-7.009267000898694588e-01	1.197042098017917871e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.019398766823507074e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.020037926761092528e+01	4.465327112426627387e+00	0.000000000000000000e+00	-7.001084901852241416e-01	4.096000000000000000e+03	1.877922754627477175e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	7.517463212709068898e+01	1.583851826821830855e+01	7.063016234625707490e-01	1.097155538901517957e+01	1.000000000000000000e+02	0.000000000000000000e+00	1.759635174799933921e-02	-1.953430534990916669e+02	1.260938392108313622e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.197210866533600893e+01	-1.953430534990916669e+02	4.903204255443179136e+03	-2.122787417139428534e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.733709448337556580e+02	1.041565061608162246e+01	4.068946500869289139e+03	5.746174261536594230e+01	1.401174721299978110e+00	3.846809317365862402e+00	-2.225658784243559563e+00	1.685366903709474116e+02	3.837295271377415329e+00	-1.000000000000000000e+00	1.028713671041310285e-01	3.086070061959216559e+01	1.390316510621419366e-01	3.000000000000000000e+00	5.964359814214823530e+01	5.131532952062183295e-01	2.420842886139191741e-01	1.197042098005260229e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.971332081842517781e+01	1.066364020267266621e+00	-1.113425638698823938e-01	4.122161075639278138e+00	4.484426336087843993e+03	8.527501535613168926e-02	1.031941656749242320e+00	1.200664610000000000e+08	1.218247739848854039e+00	1.193653304060126175e+01	1.343664990128603698e+01	1.868075947350417039e+02	2.000000000000000000e+01	-2.140383768887427873e+00	1.197042098017806053e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.025617856433231445e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.045195805419528234e+01	4.488659346019369778e+00	0.000000000000000000e+00	-6.870504927328225930e-01	4.096000000000000000e+03	1.884796115408087402e+01	2.658179182740285640e+00
1.397626327435814275e+00	1.000000000000000000e+00	1.225570156429973849e+02	1.583851826821830855e+01	7.063016234625707490e-01	1.092610086743340680e+01	1.000000000000000000e+02	0.000000000000000000e+00	-3.145421900890577049e-02	-1.953430534990916669e+02	1.223028245261005331e+01	2.798801048735792385e+00	7.823771274157749644e+01	1.000000000000000000e+00	-2.148803387163707157e+01	-1.953430534990916669e+02	2.492941667494344983e+03	-1.072455461323106540e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.197041972000000000e+09	1.738550196274545954e+02	1.041646612293705054e+01	8.645667763165747601e+02	5.746174261536594230e+01	1.401174721299978110e+00	3.827548431203709356e+00	-1.067100599134434891e+00	3.387604113100660470e+02	3.837295271377415329e+00	-1.000000000000000000e+00	-5.354862188671649648e-03	3.086070061959216559e+01	2.683875141271159670e+00	3.000000000000000000e+00	5.964359814214823530e+01	9.738009668772665828e-01	2.420842886139191741e-01	1.197042098004698038e+09	1.280000000000000000e+02	1.113425638698823938e-01	2.420842886139191741e-01	8.000000000000000000e+00	-1.644823528794995013e+02	1.959456475200401471e+01	1.065817691619994401e+00	-1.113425638698823938e-01	5.224774984435978986e+00	1.675505728585222187e+03	2.609935682023412085e-02	2.294089683164354798e-01	1.200664610000000000e+08	1.218247739848854039e+00	1.194020192879580655e+01	1.490293746193301061e+01	1.887579570893876166e+02	2.000000000000000000e+01	-1.041001242314200770e+00	1.197042098017663240e+09	6.514682042460115396e-02	9.974675578925147335e-01	1.025166392398660342e+01	2.499995981540534262e-01	6.000000000000000000e+01	1.072322147418991101e+01	4.456379806085679185e+00	0.000000000000000000e+00	-7.111608281443125845e-01	4.096000000000000000e+03	1.886765328993411828e+01	2.658179182740285640e+00
