Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 1.19006650448 6.8e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.311668109894 6.40000000018e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.151097297668 6.59999999968e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0798507928848 6.40000000018e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0803297042847 6.29999999973e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0452681064606 6.39999999947e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0451364994049 6.40000000018e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0278272867203 6.29999999973e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0277296066284 6.30000000044e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0192225933075 6.29999999973e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0194218873978 6.29999999973e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0192332029343 6.29999999973e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0191605091095 6.29999999973e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.0148269891739 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.0148220062256 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.0148553848267 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.014919090271 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.0126914978027 6.29999999973e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 0.830353212357 8.2e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.20977730751 7.6e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.0964075088501 7.39999999979e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0480950117111 7.69999999974e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0479187965393 7.8000000002e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0238653182983 7.6e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0237076997757 7.50000000025e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0118417024612 7.6e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0117812871933 7.39999999979e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.00591180324554 7.39999999979e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.00590169429779 7.2000000003e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0058856010437 7.00000000009e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0058867931366 6.79999999988e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00297160148621 7.00000000009e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00296859741211 6.99999999938e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00296170711517 6.8000000006e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.0029571056366 7.19999999959e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00151200294495 7.50000000025e-05 0.25
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 1.18192431927 6.49999999993e-05 0.00048828125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.297613978386 6.29999999973e-05 0.001953125
