Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 1.09240958691 0.001117 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.285137987137 8.1999999999e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.138033914566 8.79999999981e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0724414825439 7.30000000004e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0715824842453 8.1999999999e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0381450891495 6.70000000014e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0227484941483 6.60000000039e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0227752923965 8.70000000006e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0226836204529 6.89999999963e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.015060710907 7.39999999979e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0150246143341 7.00000000009e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0150112867355 6.49999999993e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.0111757993698 6.39999999947e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.0111819982529 6.39999999947e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.0111773014069 6.49999999993e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.0111783981323 6.19999999998e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00928649902344 6.10000000023e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4T_surrogate, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00925290584564 6.49999999993e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 0.804701495171 6.39999999947e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.201689481735 6.70000000014e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.0917891979218 6.69999999872e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0456665992737 6.69999999872e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0456226110458 6.79999999988e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0225740909576 6.59999999897e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0113030910492 6.59999999897e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.011283493042 6.19999999998e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0113393068314 6.19999999998e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.00575220584869 6.00000000048e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.00573558807373 6.70000000014e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.00568568706512 6.40000000089e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.00287909507751 6.29999999973e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.0028657913208 6.00000000048e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00285038948059 5.90000000074e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00284061431885 5.79999999957e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.0014575958252 5.89999999931e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.TaylorF2, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00146110057831 7.30000000004e-05 0.25
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 1.12636158466 7.70000000045e-05 0.00048828125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.285159301758 6.60000000039e-05 0.001953125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.13541059494 6.60000000039e-05 0.00390625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.0690872907639 6.60000000039e-05 0.0078125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.0689774036407 6.60000000039e-05 0.0078125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0355426073074 6.70000000014e-05 0.015625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0185298919678 6.50000000064e-05 0.03125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0183846950531 7.90000000279e-05 0.03125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0183532953262 6.39999999805e-05 0.03125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0100889921188 6.39999999805e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0101181030273 7.49999999812e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.0100126981735 7.89999999995e-05 0.0625
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.00598921775818 6.2999999983e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00594811439514 6.30000000115e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00600380897522 6.2000000014e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00593559741974 6.30000000115e-05 0.125
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00392801761627 8.20000000203e-05 0.25
Finished  FD_waveform_test(Mtot, xnT, LS.SEOBNRv4_ROM, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.0039430141449 6.09999999881e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 2.14818630219 6.89999999963e-05 0.00048828125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=15.000000, fHigh=2048.0, deltaF=0) 10 3 0.529770088196 6.70000000014e-05 0.001953125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=20.000000, fHigh=2048.0, deltaF=0) 10 3 0.258109998703 6.70000000014e-05 0.00390625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=25.000000, fHigh=2048.0, deltaF=0) 10 3 0.129890298843 6.70000000014e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=30.000000, fHigh=2048.0, deltaF=0) 10 3 0.12976629734 6.69999999445e-05 0.0078125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=35.000000, fHigh=2048.0, deltaF=0) 10 3 0.0658747911453 6.79999999988e-05 0.015625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=40.000000, fHigh=2048.0, deltaF=0) 10 3 0.0336066007614 9.89999999774e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=45.000000, fHigh=2048.0, deltaF=0) 10 3 0.0336025953293 6.60000000039e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=50.000000, fHigh=2048.0, deltaF=0) 10 3 0.0335177898407 6.60000000039e-05 0.03125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=55.000000, fHigh=2048.0, deltaF=0) 10 3 0.0176037073135 6.70000000014e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=60.000000, fHigh=2048.0, deltaF=0) 10 3 0.0177415847778 7.80000000304e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=65.000000, fHigh=2048.0, deltaF=0) 10 3 0.017626786232 8.00000000254e-05 0.0625
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=70.000000, fHigh=2048.0, deltaF=0) 10 3 0.00975120067596 6.50000000064e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=75.000000, fHigh=2048.0, deltaF=0) 10 3 0.00974669456482 6.2000000014e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=80.000000, fHigh=2048.0, deltaF=0) 10 3 0.00978288650513 7.69999999761e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=85.000000, fHigh=2048.0, deltaF=0) 10 3 0.00977320671082 6.30000000115e-05 0.125
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=90.000000, fHigh=2048.0, deltaF=0) 10 3 0.00585761070251 7.89999999711e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.SEOBNRv4_ROM_NRTidal, fLow=95.000000, fHigh=2048.0, deltaF=0) 10 3 0.00580778121948 6.10000000165e-05 0.25
Finished  FD_waveform_test(Mtot, x, LS.IMRPhenomD_NRTidal, fLow=10.000000, fHigh=2048.0, deltaF=0) 10 3 2.196230793 8.0999999966e-05 0.00048828125
